model,n_predictions,mae,mse,rmse,mape,variability,r2
sarima_all,2713,9.039992628086988,554.7089015849613,23.552258948664804,100.82411812384792,21.748274296345773,0.4399315247501481
sarima_same,1779,19.671725688589095,91748.1292861158,302.89953662248445,228.90257515445677,302.26007426477724,-273.1560744154109
linear_all,2617,18.360527321360337,9516.141478792511,97.55071234384971,178.21535989453145,95.80726754935709,-8.389259552303542
linear_same,2135,36.596018735362996,311672.19590163935,558.2760928981639,274.4980090543492,557.0753336079065,-880.0536586470802
sarimax_all,2701,12.76693817104776,1696.9697334320622,41.19429248612072,177.58229426484732,39.165993197782,-2.5112028588571
sarimax_same,1389,13.727141828653707,1621.0143988480922,40.26182309394462,170.44909189849122,37.84943825295321,-3.7920086815992864
productivo,2605,9.434357005758157,679.103358925144,26.059611641871104,94.97857416409221,24.291897143143142,0.3376768371976223
