model,n_predictions,mae,mse,rmse,mape,variability,r2
sarima_all,2871,14.276210379658655,2195.915360501567,46.86059496529645,122.11756166087109,44.63300547461815,0.658649662930664
sarima_same,1886,16.577412513255567,3724.193531283139,61.0261708718738,168.78749994065626,58.73144750173025,0.27658406981539707
linear_all,2751,19.275899672846236,5407.685205379862,73.53696489099794,157.6032267622049,70.96565998553264,-0.06362325745912578
linear_same,2333,27.23060437205315,7793.5100728675525,88.28085904015407,263.28617504655097,83.97621245567265,-0.5414888678899714
sarimax_all,2847,18.33403582718651,3673.0379346680716,60.605593262240006,196.71080688302044,57.76591611803203,0.25451045564595665
sarimax_same,1468,19.1866485013624,5561.960490463215,74.57855248302434,207.69247552048625,72.06825243995017,-0.4795212633031516
